reference	genome	region	family_id	distance	jaccard	adjacency	dss
bialaphos	Pantoea_ananatis_BAV3096	JASHLP010000011.1.region001	2	0.9603	0.1111	0.0	0.0233
bialaphos	Pantoea_ananatis_PANS_99_31	JABDZL010000010.1.region001	1	0.9621	0.1	0.0	0.0239
bialaphos	Pantoea_ananatis_PNA_07_1	JABDZX010000003.1.region001	3	0.9621	0.1	0.0	0.0239
bialaphos	Pantoea_ananatis_LMG_5342	HE617160.1.region001	3	0.9621	0.1	0.0	0.0239
bialaphos	Pantoea_ananatis_PA13	CP003085.1.region001	3	0.9621	0.1	0.0	0.0239
bialaphos	Pantoea_ananatis_PP105	JBYHZO010000002.1.region002	4	0.9621	0.1	0.0	0.0239
bialaphos	Pantoea_ananatis_20NY0487	JBQOUQ010000003.1.region001	3	0.9641	0.1	0.0	0.0212
bialaphos	Pantoea_ananatis_99-7	JALKLW010000001.1.region001		0.9641	0.1	0.0	0.0212
bialaphos	Pantoea_ananatis_PANS_99_31	JABDZL010000075.1.region001	5	0.9715	0.0526	0.0	0.024
bialaphos	Pantoea_agglomerans_20GA0400	JBBJRX010000008.1.region001	3	0.9769	0.0735	0.0125	0.0103
bialaphos	Pantoea_agglomerans_20TX0122	JAKZMS010000010.1.region001	4	0.9769	0.0735	0.0125	0.0103
bialaphos	Pantoea_ananatis_BAV3096	JASHLP010000001.1.region001	3	0.9771	0.0417	0.0	0.0194
bialaphos	Pantoea_ananatis_PP105	JBYHZO010000002.1.region001	3	0.9771	0.0417	0.0	0.0194
bialaphos	Pantoea_ananatis_98-2	JALKKD010000002.1.region001	3	0.9853	0.0385	0.0	0.0094
pantaphos_LMG5342	Pantoea_ananatis_PANS_99_31	JABDZL010000010.1.region001	1	0.0	1.0	1.0	1.0
pantaphos_LMG5342	Pantoea_ananatis_PNA_07_1	JABDZX010000003.1.region001	3	0.0	1.0	1.0	1.0
pantaphos_LMG5342	Pantoea_ananatis_98-2	JALKKD010000002.1.region001	3	0.0	1.0	1.0	1.0
pantaphos_LMG5342	Pantoea_ananatis_PA13	CP003085.1.region001	3	0.0	1.0	1.0	1.0
pantaphos_LMG5342	Pantoea_ananatis_BAV3096	JASHLP010000011.1.region001	2	0.0	1.0	1.0	1.0
pantaphos_LMG5342	Pantoea_ananatis_LMG_5342	HE617160.1.region001	3	0.0004	1.0	1.0	0.9994
pantaphos_LMG5342	Pantoea_ananatis_20NY0487	JBQOUQ010000003.1.region001	3	0.0004	1.0	1.0	0.9994
pantaphos_LMG5342	Pantoea_ananatis_PP105	JBYHZO010000002.1.region002	4	0.0009	1.0	1.0	0.9988
pantaphos_LMG5342	Pantoea_ananatis_99-7	JALKLW010000001.1.region001		0.0009	1.0	1.0	0.9988
pantaphos_LMG5342	Pantoea_agglomerans_20GA0400	JBBJRX010000008.1.region001	3	0.199	0.9091	0.9091	0.765
pantaphos_LMG5342	Pantoea_agglomerans_20TX0122	JAKZMS010000010.1.region001	4	0.199	0.9091	0.9091	0.765
pantaphos_LMG5342	Pantoea_ananatis_PANS_99_31	JABDZL010000075.1.region001	5	0.8755	0.25	0.0	0.0994
pantaphos_LMG5342	Pantoea_allii_LMG_24248_2	NTMH01000040.1.region001	3	0.8822	0.25	0.0	0.0904
pantaphos_LMG5342	Pantoea_ananatis_PP105	JBYHZO010000002.1.region001	3	0.917	0.1667	0.0	0.0662
pantaphos_LMG5342	Pantoea_ananatis_LMG_5342	HE617160.1.region002	4	0.9377	0.125	0.0	0.0497
pantaphos_LMG5342	Pantoea_ananatis_PA13	CP003085.1.region002	3	0.9458	0.125	0.0	0.0389
pantaphos_LMG5342	Pantoea_ananatis_4-1	JALKJF010000007.1.region001		0.9458	0.125	0.0	0.0389
pantaphos_LMG5342	Pantoea_agglomerans_C-376	JCAKJO010000002.1.region001	3	0.9526	0.1111	0.0	0.0336
pantaphos_LMG5342	Pantoea_ananatis_BAV3096	JASHLP010000001.1.region001	3	0.957	0.0909	0.0	0.0331
pantaphos_LMG5342	Pantoea_allii_21GA0582	JBNUMG010000005.1.region001		0.9592	0.0909	0.0	0.0301
phosphinothricin_PTT	Pantoea_ananatis_4-1	JALKJF010000007.1.region001		0.8211	0.375	0.25	0.1218
phosphinothricin_PTT	Pantoea_ananatis_PA13	CP003085.1.region002	3	0.8836	0.25	0.1538	0.0783
phosphinothricin_PTT	Pantoea_agglomerans_C-376	JCAKJO010000002.1.region001	3	0.9264	0.1667	0.0833	0.0481
phosphinothricin_PTT	Pantoea_allii_21GA0582	JBNUMG010000005.1.region001		0.9532	0.1333	0.0714	0.0221
phosphinothricin_PTT	Pantoea_allii_LMG_24248_2	NTMH01000040.1.region001	3	0.9562	0.125	0.0667	0.0207
phosphinothricin_PTT	Pantoea_ananatis_BAV3096	JASHLP010000011.1.region001	2	0.9588	0.1111	0.0	0.0253
phosphinothricin_PTT	Pantoea_ananatis_LMG_5342	HE617160.1.region002	4	0.959	0.0769	0.0	0.0342
phosphinothricin_PTT	Pantoea_ananatis_PANS_99_31	JABDZL010000010.1.region001	1	0.9627	0.1	0.0	0.0231
phosphinothricin_PTT	Pantoea_ananatis_PNA_07_1	JABDZX010000003.1.region001	3	0.9627	0.1	0.0	0.0231
phosphinothricin_PTT	Pantoea_ananatis_LMG_5342	HE617160.1.region001	3	0.9627	0.1	0.0	0.0231
phosphinothricin_PTT	Pantoea_ananatis_PA13	CP003085.1.region001	3	0.9627	0.1	0.0	0.0231
phosphinothricin_PTT	Pantoea_ananatis_PP105	JBYHZO010000002.1.region002	4	0.9627	0.1	0.0	0.0231
phosphinothricin_PTT	Pantoea_ananatis_20NY0487	JBQOUQ010000003.1.region001	3	0.9628	0.1	0.0	0.023
phosphinothricin_PTT	Pantoea_ananatis_99-7	JALKLW010000001.1.region001		0.9628	0.1	0.0	0.023
phosphinothricin_PTT	Pantoea_ananatis_98-2	JALKKD010000002.1.region001	3	0.968	0.087	0.0	0.0195
phosphinothricin_PTT	Pantoea_ananatis_PANS_99_31	JABDZL010000075.1.region001	5	0.9715	0.0526	0.0	0.024
phosphinothricin_PTT	Pantoea_agglomerans_20GA0400	JBBJRX010000008.1.region001	3	0.9717	0.0893	0.0156	0.0129
phosphinothricin_PTT	Pantoea_agglomerans_20TX0122	JAKZMS010000010.1.region001	4	0.9717	0.0893	0.0156	0.0129
phosphinothricin_PTT	Pantoea_ananatis_BAV3096	JASHLP010000001.1.region001	3	0.9771	0.0417	0.0	0.0194
phosphinothricin_PTT	Pantoea_ananatis_PP105	JBYHZO010000002.1.region001	3	0.9771	0.0417	0.0	0.0194
phosphonothrixin	Pantoea_agglomerans_C-376	JCAKJO010000002.1.region001	3	0.6598	0.75	0.5	0.2203
phosphonothrixin	Pantoea_allii_21GA0582	JBNUMG010000005.1.region001		0.7435	0.5455	0.3636	0.1723
phosphonothrixin	Pantoea_allii_LMG_24248_2	NTMH01000040.1.region001	3	0.7645	0.5	0.3333	0.1585
phosphonothrixin	Pantoea_ananatis_BAV3096	JASHLP010000011.1.region001	2	0.9083	0.2	0.0	0.0689
phosphonothrixin	Pantoea_ananatis_4-1	JALKJF010000007.1.region001		0.9148	0.25	0.0	0.0469
phosphonothrixin	Pantoea_ananatis_20NY0487	JBQOUQ010000003.1.region001	3	0.9236	0.1667	0.0	0.0574
phosphonothrixin	Pantoea_ananatis_99-7	JALKLW010000001.1.region001		0.9236	0.1667	0.0	0.0574
phosphonothrixin	Pantoea_ananatis_PP105	JBYHZO010000002.1.region001	3	0.9453	0.1111	0.0	0.0433
phosphonothrixin	Pantoea_ananatis_PA13	CP003085.1.region002	3	0.9516	0.1538	0.0	0.0234
phosphonothrixin	Pantoea_ananatis_PANS_99_31	JABDZL010000010.1.region001	1	0.9565	0.1	0.0	0.0313
phosphonothrixin	Pantoea_ananatis_PNA_07_1	JABDZX010000003.1.region001	3	0.9565	0.1	0.0	0.0313
phosphonothrixin	Pantoea_ananatis_LMG_5342	HE617160.1.region001	3	0.9565	0.1	0.0	0.0313
phosphonothrixin	Pantoea_ananatis_PA13	CP003085.1.region001	3	0.9565	0.1	0.0	0.0313
phosphonothrixin	Pantoea_ananatis_PP105	JBYHZO010000002.1.region002	4	0.9565	0.1	0.0	0.0313
phosphonothrixin	Pantoea_ananatis_98-2	JALKKD010000002.1.region001	3	0.9603	0.0909	0.0	0.0287
phosphonothrixin	Pantoea_ananatis_PANS_99_31	JABDZL010000075.1.region001	5	0.9611	0.1111	0.0	0.0223
phosphonothrixin	Pantoea_ananatis_BAV3096	JASHLP010000001.1.region001	3	0.9656	0.0976	0.0	0.0198
phosphonothrixin	Pantoea_agglomerans_20GA0400	JBBJRX010000008.1.region001	3	0.9851	0.0417	0.0	0.0087
phosphonothrixin	Pantoea_agglomerans_20TX0122	JAKZMS010000010.1.region001	4	0.9851	0.0417	0.0	0.0087
phosphonothrixin	Pantoea_ananatis_LMG_5342	HE617160.1.region002	4	0.9865	0.0417	0.0	0.0069
