family	region	genome	locus_tag	original_product	transferred_product	origin	source_genomes	n_sources	n_agree	n_disagree	group_size
1	JALKLV010000004.1.region001	Pantoea_ananatis_99-2	ctg21_126		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKJX010000006.1.region001	Pantoea_ananatis_200-11	ctg23_137		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JAKZMT010000004.1.region001	Pantoea_ananatis_20TX0087	MND01_13230	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JALKJH010000002.1.region001	Pantoea_ananatis_06-1	ctg12_345		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	CVNG01000056.1.region001	Pantoea_ananatis_S7	BN1183_CH_00510	Carbamoyl-phosphate synthase, large subunit	Carbamoyl-phosphate synthase, large subunit	observed					174
1	JALKJT010000003.1.region001	Pantoea_ananatis_18-5	ctg16_284		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABEAO010000004.1.region001	Pantoea_ananatis_PNA_18_3S	ctg15_133		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKLR010000003.1.region001	Pantoea_ananatis_2-7	ctg20_133		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	CP166503.1.region001	Pantoea_ananatis_LPP-1	ctg1_3164		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKJY010000008.1.region001	Pantoea_ananatis_200-12	ctg27_181		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABDZZ010000004.1.region001	Pantoea_ananatis_PNA_07_13	ctg14_231		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKMB010000001.1.region001	Pantoea_ananatis_99-14_2	ctg11_205		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	LYOQ01000033.1.region001	Pantoea_ananatis_B7	A8L49_10895	hypothetical protein	ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABDZY010000003.1.region001	Pantoea_ananatis_PNA_07_10	ctg7_275		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JFZU01000015.1.region001	Pantoea_ananatis_LMG_2665	ctg15_227		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKJS010000003.1.region001	Pantoea_ananatis_18-3S	ctg23_352		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JBNFPX010000006.1.region001	Pantoea_ananatis_J-2	ACP3PF_12235	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JALKIQ010000056.1.region001	Pantoea_ananatis_19-20	ctg96_14		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	CP003085.1.region001	Pantoea_ananatis_PA13	PAGR_g0802	hypothetical protein	ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	CP059084.1.region001	Pantoea_ananatis_OC5a	H0Z12_05275	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JABEBL010000005.1.region001	Pantoea_ananatis_PNA_99_1	ctg19_230		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKLD010000003.1.region001	Pantoea_ananatis_99-27	ctg11_228		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABEBJ010000003.1.region001	Pantoea_ananatis_PNA_98_7	ctg22_224		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JBSSGC010000003.1.region001	Pantoea_ananatis_TE32200	ACVW06_000439	biotin carboxylase	biotin carboxylase	observed					174
1	JABDYX010000003.1.region001	Pantoea_ananatis_PANS_2_5	ctg17_308		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABDYZ010000004.1.region001	Pantoea_ananatis_PANS_2_7	ctg18_133		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKKY010000002.1.region001	Pantoea_ananatis_97-3	ctg17_284		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABEBB010000005.1.region001	Pantoea_ananatis_PNA_92_7	ctg16_229		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKKP010000002.1.region001	Pantoea_ananatis_15-1	ctg20_329		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKJU010000001.1.region001	Pantoea_ananatis_18-5S	ctg111_70		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABDYR010000003.1.region001	Pantoea_ananatis_PANS_1_2	ctg15_181		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABDZA010000004.1.region001	Pantoea_ananatis_PANS_2_8	ctg18_307		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKKG010000002.1.region001	Pantoea_ananatis_99-6	ctg22_229		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JBQOUR010000003.1.region001	Pantoea_ananatis_20PA0260	ACTUSX_06355	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	QTTO01000005.1.region001	Pantoea_ananatis_PNA_07-10	C7424_3171	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JASHLO010000001.1.region001	Pantoea_ananatis_BAV3127	QM574_05230	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JABEAE010000005.1.region001	Pantoea_ananatis_PNA_08_1	ctg15_134		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABEBP010000003.1.region001	Pantoea_ananatis_PNA_99_6	ctg23_137		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKKA010000005.1.region001	Pantoea_ananatis_92-7	ctg24_275		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKJI010000004.1.region001	Pantoea_ananatis_02-12	ctg25_229		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABDZV010000007.1.region001	Pantoea_ananatis_PNA_05_1	ctg22_232		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	CP090356.1.region001	Pantoea_ananatis_JBR-LB3-16	LVR30_02165	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JALKKH010000003.1.region001	Pantoea_ananatis_99-8	ctg17_135		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	NMZZ01000004.1.region001	Pantoea_ananatis_PNA_15-1	CG436_13205	hypothetical protein	ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKJK010000004.1.region001	Pantoea_ananatis_2-8	ctg20_346		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	LYOP01000033.1.region001	Pantoea_ananatis_M232A	A8L50_13145	hypothetical protein	ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKLN010000002.1.region001	Pantoea_ananatis_07-1	ctg22_283		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKLO010000002.1.region001	Pantoea_ananatis_07-10	ctg13_274		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABDZH010000004.1.region001	Pantoea_ananatis_PANS_99_25	ctg14_207		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKKQ010000003.1.region001	Pantoea_ananatis_18-2	ctg13_209		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKKX010000004.1.region001	Pantoea_ananatis_98-7	ctg27_202		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABDZS010000006.1.region001	Pantoea_ananatis_PNA_02_12	ctg18_127		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKLJ010000005.1.region001	Pantoea_ananatis_02-12_2	ctg20_113		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABDYS010000005.1.region001	Pantoea_ananatis_PANS_1_5	ctg10_275		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	RQJN01000001.1.region001	Pantoea_ananatis_DZ-12	EHQ51_16470	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JALKKM010000002.1.region001	Pantoea_ananatis_1-6	ctg11_312		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JAODYK010000017.1.region001	Pantoea_ananatis_GD04167	N7371_20295	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JALKJP010000004.1.region001	Pantoea_ananatis_07-13	ctg24_209		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	CP020943.2.region001	Pantoea_ananatis_PNA_97-1R	B9Q16_20775	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JABDZN010000003.1.region001	Pantoea_ananatis_PANS_99_33	ctg20_149		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKKI010000004.1.region001	Pantoea_ananatis_97-2	ctg15_258		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JBMUJK010000004.1.region001	Pantoea_ananatis_P1A3	ACLGHH_14465	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JXUI01000022.1.region001	Pantoea_ananatis_Cit30-11	TH59_11405	hypothetical protein	ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JBYHZK010000001.1.region001	Pantoea_ananatis_JEL0892	AC26EW_04120	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JAABOW010000002.1.region001	Pantoea_ananatis_MMB-1	GWK13_04470	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JALKLF010000010.1.region001	Pantoea_ananatis_99-31	ctg11_31		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABEAK010000003.1.region001	Pantoea_ananatis_PNA_18_1	ctg11_232		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	NMZU01000003.1.region001	Pantoea_ananatis_PANS_01-2	CG431_10800	hypothetical protein	ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKJQ010000003.1.region001	Pantoea_ananatis_07-7	ctg16_274		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABEAC010000003.1.region001	Pantoea_ananatis_PNA_07_5	ctg13_229		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABDZX010000003.1.region001	Pantoea_ananatis_PNA_07_1	ctg16_283		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JBYHZO010000002.1.region002	Pantoea_ananatis_PP105	AC26GL_21010	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JABDZC010000004.1.region001	Pantoea_ananatis_PANS_200_2	ctg13_273		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKJR010000003.1.region001	Pantoea_ananatis_18-1	ctg14_138		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABEAD010000005.1.region001	Pantoea_ananatis_PNA_07_7	ctg13_134		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JBYHZE010000001.1.region001	Pantoea_ananatis_PP099-PanT13S3	AC26CJ_04110	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JABDYT010000004.1.region001	Pantoea_ananatis_PANS_1_6	ctg10_228		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABEAX010000006.1.region001	Pantoea_ananatis_PNA_200_12	ctg20_181		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	QICU01000004.1.region001	Pantoea_ananatis_PNA_07-1	C7422_104330	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	SMZS01000005.1.region001	Pantoea_ananatis_F-C2	E2R52_13315	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JALKKL010000002.1.region001	Pantoea_ananatis_1-5	ctg14_208		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JAUHJV010000003.1.region001	Pantoea_ananatis_4.2	QYF35_09690	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JAUHJW010000002.1.region001	Pantoea_ananatis_13.3	QYF32_06365	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JABEAV010000002.1.region001	Pantoea_ananatis_PNA_200_10	ctg12_241		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABEBC010000003.1.region001	Pantoea_ananatis_PNA_97_11	ctg19_326		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	FUXY01000003.1.region001	Pantoea_ananatis_NFIX48	SAMN03097719_2625	ATP-grasp domain-containing protein	ATP-grasp domain-containing protein	observed					174
1	JABEBK010000004.1.region001	Pantoea_ananatis_PNA_98_8	ctg19_258		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JXUJ01000033.1.region001	Pantoea_ananatis_26SR6	TH60_14850	hypothetical protein	ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JABEAQ010000011.1.region001	Pantoea_ananatis_PNA_18_5S	ctg22_100		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
1	JALKKZ010000002.1.region001	Pantoea_ananatis_18-7S	ctg16_284		ATP-grasp domain-containing protein	transferred	Pantoea_ananatis_117T1;Pantoea_ananatis_13.3;Pantoea_ananatis_20NY0427;Pantoea_ananatis_20NY0487;Pantoea_ananatis_20PA0260	33	33	3	174
