genome	mode	cds_per_mb	best_bitscore	pass
Streptomyces_griseus_NPDC038663	blastp	839	0.0	no
Streptomyces_griseus_NPDC038670	blastp	830	0.0	no
Streptomyces_griseus_NPDC038675	blastp	832	0.0	no
Streptomyces_griseus_NPDC038683	blastp	831	0.0	no
Streptomyces_griseus_NPDC038686	blastp	831	0.0	no
Streptomyces_griseus_NPDC038690	blastp	832	0.0	no
Streptomyces_griseus_NPDC038691	blastp	839	0.0	no
Streptomyces_griseus_NPDC038693	blastp	830	0.0	no
Streptomyces_griseus_NPDC038695	blastp	830	0.0	no
Streptomyces_griseus_NPDC038699	blastp	830	0.0	no
Streptomyces_griseus_NPDC038701	blastp	830	0.0	no
Streptomyces_griseus_NPDC038906	blastp	862	0.0	no
Streptomyces_griseus_NPDC040607	blastp	847	0.0	no
Streptomyces_griseus_NPDC041087	blastp	845	0.0	no
Streptomyces_griseus_NPDC042341	blastp	841	172.0	yes
Streptomyces_griseus_NPDC043883	blastp	871	0.0	no
Streptomyces_griseus_NPDC047119	blastp	873	0.0	no
Streptomyces_griseus_NPDC048684	blastp	837	0.0	no
Streptomyces_griseus_NPDC050462	blastp	869	0.0	no
Streptomyces_griseus_NPDC051085	blastp	848	0.0	no
Streptomyces_griseus_NPDC053514	blastp	840	0.0	no
Streptomyces_griseus_NPDC054881	blastp	868	0.0	no
Streptomyces_griseus_NPDC054913	blastp	868	0.0	no
Streptomyces_griseus_NPDC054922	blastp	869	0.0	no
Streptomyces_griseus_NPDC054928	blastp	869	0.0	no
Streptomyces_griseus_NPDC054943	blastp	864	0.0	no
Streptomyces_griseus_NPDC054957	blastp	864	0.0	no
Streptomyces_griseus_NPDC054992	blastp	868	0.0	no
Streptomyces_griseus_NPDC054993	blastp	868	0.0	no
Streptomyces_griseus_NPDC056251	blastp	869	152.0	yes
Streptomyces_griseus_NPDC056969	blastp	869	0.0	no
Streptomyces_griseus_NPDC057535	blastp	841	0.0	no
Streptomyces_griseus_NPDC057558	blastp	872	157.0	yes
Streptomyces_griseus_NPDC057564	blastp	879	157.0	yes
Streptomyces_griseus_NPDC057646	blastp	864	154.0	yes
Streptomyces_griseus_NPDC057665	blastp	866	154.0	yes
Streptomyces_griseus_NPDC057678	blastp	825	0.0	no
Streptomyces_griseus_NPDC057710	blastp	864	152.0	yes
Streptomyces_griseus_NPDC058557	blastp	873	0.0	no
Streptomyces_griseus_NPDC058574	blastp	845	0.0	no
Streptomyces_griseus_NPDC058675	blastp	851	0.0	no
Streptomyces_griseus_NPDC058721	blastp	868	0.0	no
Streptomyces_griseus_NPDC059140	blastp	833	0.0	no
Streptomyces_griseus_NPDC059184	blastp	843	0.0	no
Streptomyces_griseus_NPDC059189	blastp	852	0.0	no
Streptomyces_griseus_NPDC060008	blastp	848	0.0	no
Streptomyces_griseus_NPDC060329	blastp	843	0.0	no
Streptomyces_griseus_NPDC086518	blastp	868	0.0	no
Streptomyces_griseus_NPDC088911	blastp	832	0.0	no
Streptomyces_griseus_NPDC089181	blastp	863	149.0	yes
Streptomyces_griseus_NPDC090049	blastp	830	0.0	no
Streptomyces_griseus_NPDC090304	blastp	836	0.0	no
Streptomyces_griseus_NPDC091200	blastp	832	0.0	no
Streptomyces_griseus_NPDC092297	blastp	857	0.0	no
Streptomyces_griseus_NPDC094020	blastp	849	0.0	no
Streptomyces_griseus_NPDC094453	blastp	841	0.0	no
Streptomyces_griseus_NPDC094457	blastp	869	0.0	no
Streptomyces_griseus_NPDC097596	blastp	844	0.0	no
Streptomyces_griseus_NPDC100513	blastp	863	151.0	yes
Streptomyces_griseus_NPDC102352	blastp	857	0.0	no
Streptomyces_griseus_NPDC111753	blastp	867	0.0	no
Streptomyces_griseus_NRRL_B-2165	blastx	0	0.0	no
Streptomyces_griseus_NRRL_ISP-5322	blastx	0	0.0	no
Streptomyces_griseus_SAS_279	blastp	864	0.0	no
Streptomyces_griseus_SID164	blastp	892	0.0	no
Streptomyces_griseus_TAMT1-3	blastp	868	0.0	no
Streptomyces_griseus_subsp._griseus_30	blastx	0	0.0	no
Streptomyces_griseus_subsp._griseus_48	blastx	0	0.0	no
Streptomyces_griseus_subsp._griseus_51d	blastx	0	0.0	no
Streptomyces_griseus_subsp._griseus_51e	blastx	0	0.0	no
Streptomyces_griseus_subsp._griseus_54	blastx	0	0.0	no
Streptomyces_griseus_subsp._griseus_ATCC_13273	blastx	0	133.0	yes
Streptomyces_griseus_subsp._griseus_NBRC_13350	blastp	835	0.0	no
Streptomyces_griseus_subsp._griseus_NRRL_B-2621	blastx	0	164.0	yes
Streptomyces_griseus_subsp._griseus_NRRL_B-2621_2	blastx	0	164.0	yes
Streptomyces_griseus_subsp._griseus_NRRL_F-2227	blastx	0	404.0	yes
Streptomyces_griseus_subsp._griseus_NRRL_F-5144	blastx	0	385.0	yes
Streptomyces_griseus_subsp._griseus_NRRL_WC-3480	blastx	0	0.0	no
Streptomyces_griseus_subsp._griseus_NRRL_WC-3645	blastx	0	394.0	yes
Streptomyces_griseus_subsp._griseus__78_MBG-DUTH_FBUA_61_ELTE	blastp	867	0.0	no
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-1691	blastx	0	404.0	yes
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2929	blastp	828	405.0	yes
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2930	blastx	0	404.0	yes
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2931	blastx	0	404.0	yes
Streptomyces_griseus_subsp._rhodochrous_NRRL_B-2932	blastx	0	404.0	yes
Streptomyces_hygroscopicus_57_M1PS-17	blastp	814	130.0	yes
Streptomyces_hygroscopicus_ATCC_21589	blastp	814	39.7	no
Streptomyces_hygroscopicus_HOK021	blastp	891	281.0	yes
Streptomyces_hygroscopicus_NPDC007149	blastp	789	50.1	no
Streptomyces_hygroscopicus_NPDC012811	blastp	807	51.6	no
Streptomyces_hygroscopicus_NPDC012821	blastp	801	50.1	no
Streptomyces_hygroscopicus_NPDC017933	blastp	793	130.0	yes
Streptomyces_hygroscopicus_NPDC019252	blastp	805	50.1	no
Streptomyces_hygroscopicus_NPDC019769	blastp	803	50.1	no
Streptomyces_hygroscopicus_NPDC020862	blastp	794	52.0	no
Streptomyces_hygroscopicus_NPDC020942	blastp	800	50.1	no
Streptomyces_hygroscopicus_NPDC021558	blastp	801	50.1	no
Streptomyces_hygroscopicus_NPDC023119	blastp	801	51.6	no
Streptomyces_hygroscopicus_NPDC031346	blastp	799	50.1	no
Streptomyces_hygroscopicus_NPDC031436	blastp	807	50.1	no
Streptomyces_hygroscopicus_NPDC038895	blastp	799	50.1	no
Streptomyces_hygroscopicus_NPDC044793	blastp	795	130.0	yes
Streptomyces_hygroscopicus_NPDC048782	blastp	798	130.0	yes
Streptomyces_hygroscopicus_NPDC049841	blastp	802	50.4	no
Streptomyces_hygroscopicus_NPDC057085	blastp	808	50.1	no
Streptomyces_hygroscopicus_NPDC059380	blastp	813	50.1	no
Streptomyces_hygroscopicus_NPDC059473	blastp	796	130.0	yes
Streptomyces_hygroscopicus_NPDC059509	blastp	796	50.1	no
Streptomyces_hygroscopicus_NPDC059647	blastp	802	50.1	no
Streptomyces_hygroscopicus_NPDC059683	blastp	788	50.1	no
Streptomyces_hygroscopicus_NPDC088799	blastp	799	50.4	no
Streptomyces_hygroscopicus_OsiSh-2	blastp	778	50.1	no
Streptomyces_hygroscopicus_subsp._hygroscopicus_5-4	blastp	788	130.0	yes
Streptomyces_hygroscopicus_subsp._hygroscopicus_DSM_41954	blastp	786	50.1	no
Streptomyces_hygroscopicus_subsp._hygroscopicus_NBRC_12859	blastx	0	0.0	no
Streptomyces_hygroscopicus_subsp._hygroscopicus_NBRC_12859_2	blastp	839	52.0	no
Streptomyces_hygroscopicus_subsp._hygroscopicus_NBRC_13472	blastx	0	50.1	no
Streptomyces_hygroscopicus_subsp._hygroscopicus_NBRC_3401	blastp	898	147.0	yes
Streptomyces_hygroscopicus_subsp._hygroscopicus_NRRL_B-1477	blastx	0	0.0	no
Streptomyces_hygroscopicus_subsp._hygroscopicus_OsiSh-2	blastx	0	0.0	no
Streptomyces_hygroscopicus_subsp._sporocinereus_N11-34	blastp	848	50.1	no
Streptomyces_hygroscopicus_subsp._sporocinereus_NBRC_100766	blastx	0	0.0	no
Streptomyces_hygroscopicus_subsp._sporocinereus_NBRC_109436	blastx	0	0.0	no
Streptomyces_hygroscopicus_subsp._sporocinereus_NBRC_16556	blastx	0	0.0	no
uncultured_Saccharothrix_sp._GCA_965995405.1	blastx	0	56.6	no
