genome	mode	cds_per_mb	best_bitscore	pass	bgc_positive	regions
Bacteroides_fragilis_BFG-403	blastp	858	565.0	yes	yes	3
Bacteroides_fragilis_BFG-435	blastp	815	515.0	yes	yes	1
Bacteroides_fragilis_BFG-448	blastp	827	388.0	yes	yes	1
Bacteroides_fragilis_BFG-450	blastp	896	330.0	yes	no	0
Bacteroides_fragilis_BFG-480	blastp	810	44.3	no	no	0
Bacteroides_fragilis_BFG-481	blastp	824	514.0	yes	yes	1
Bacteroides_fragilis_BFG-49	blastp	807	515.0	yes	yes	1
Bacteroides_fragilis_BFG-492	blastp	850	0.0	no	no	0
Bacteroides_fragilis_BFG-502	blastp	807	565.0	yes	yes	2
Bacteroides_fragilis_BFG-504	blastp	822	514.0	yes	yes	2
Bacteroides_fragilis_BFG-506	blastp	815	0.0	no	no	0
Bacteroides_fragilis_BFG-509	blastp	818	563.0	yes	yes	3
Bacteroides_fragilis_BFG-518	blastp	826	0.0	no	no	0
Bacteroides_fragilis_BFG-525	blastp	816	565.0	yes	yes	2
Bacteroides_fragilis_BFG-526	blastp	835	565.0	yes	yes	3
Bacteroides_fragilis_BFG-536	blastp	836	342.0	yes	yes	1
Bacteroides_fragilis_BFG-539	blastp	813	558.0	yes	yes	1
Bacteroides_fragilis_BFG-569	blastp	817	72.0	no	no	0
Bacteroides_fragilis_BFG-57	blastp	824	560.0	yes	yes	1
Bacteroides_fragilis_BFG-584	blastp	796	515.0	yes	yes	1
Bacteroides_fragilis_BFG-604	blastp	801	514.0	yes	yes	1
Bacteroides_fragilis_BFG-612	blastp	858	287.0	yes	no	0
Bacteroides_fragilis_BFG-634	blastp	798	534.0	yes	yes	1
Bacteroides_fragilis_BFG-640	blastp	803	0.0	no	no	0
Bacteroides_fragilis_BFG-642	blastp	834	565.0	yes	yes	2
Bacteroides_fragilis_BFG-7	blastp	806	560.0	yes	yes	3
Bacteroides_fragilis_BFG-70	blastp	817	0.0	no	no	0
Bacteroides_fragilis_BFG-79	blastp	821	560.0	yes	yes	1
Bacteroides_fragilis_BFG-85	blastp	812	0.0	no	no	0
Bacteroides_fragilis_BFG-89	blastp	795	514.0	yes	yes	1
Bacteroides_fragilis_BFG-9	blastp	799	516.0	yes	yes	1
Bacteroides_fragilis_BFG-95	blastp	806	515.0	yes	yes	1
Bacteroides_fragilis_BOB25	blastp	778	0.0	no	no	0
Bacteroides_fragilis_CCUG_4856	blastp	874	515.0	yes	yes	1
Bacteroides_fragilis_CL03T12C07	blastp	815	72.0	no	no	0
Bacteroides_fragilis_CNGBoF3MHA02011B	blastx	0	516.0	yes	yes	2
Bacteroides_fragilis_DCMOUH0042B	blastp	863	0.0	no	no	0
Bacteroides_fragilis_DH4096B	blastp	805	565.0	yes	yes	2
Bacteroides_fragilis_FDAARGOS_1225	blastp	806	0.0	no	no	0
Bacteroides_fragilis_FDAARGOS_1512	blastp	804	515.0	yes	yes	1
Bacteroides_fragilis_GUT04	blastx	0	0.0	no	no	0
Bacteroides_fragilis_NCTC_9343	blastp	822	515.0	yes	yes	1
Bacteroides_fragilis_OB_EAV1_11_D6_FAA	blastx	0	515.0	yes	yes	1
Bacteroides_fragilis_P207	blastp	797	565.0	yes	yes	2
Bacteroides_fragilis_RSZYD15080378_A	blastx	0	0.0	no	no	0
Bacteroides_fragilis_RSZYD15081382_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081383_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081389_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081392_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081394_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081401_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081405_A-bold	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081407_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090270_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090274_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090289_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090303_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090305_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090307_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090325_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_S14	blastp	778	514.0	yes	yes	1
Bacteroides_fragilis_S36L11	blastp	841	565.0	yes	yes	2
Bacteroides_fragilis_SLAM_BAF01	blastp	817	515.0	yes	yes	2
Bacteroides_fragilis_Tbg-318	blastp	803	515.0	yes	yes	1
Bacteroides_fragilis_YCH46	blastp	871	560.0	yes	yes	2
Bacteroides_fragilis_ZY0302	blastp	798	516.0	yes	yes	1
Bacteroides_fragilis_ZY0804	blastp	798	0.0	no	no	0
