genome	mode	cds_per_mb	best_bitscore	pass	bgc_positive	regions
Bacteroides_fragilis_BFG-525	blastp	750	565.0	yes	yes	2
Bacteroides_fragilis_BFG-526	blastp	792	565.0	yes	yes	3
Bacteroides_fragilis_BFG-536	blastp	726	0.0	no	yes	1
Bacteroides_fragilis_BFG-539	blastp	761	558.0	yes	yes	1
Bacteroides_fragilis_BFG-569	blastp	779	72.0	no	no	0
Bacteroides_fragilis_BFG-57	blastp	794	560.0	yes	yes	1
Bacteroides_fragilis_BFG-584	blastp	777	515.0	yes	yes	1
Bacteroides_fragilis_BFG-604	blastp	791	514.0	yes	yes	1
Bacteroides_fragilis_BFG-612	blastx	459	255.0	yes	no	0
Bacteroides_fragilis_BFG-634	blastp	785	534.0	yes	yes	1
Bacteroides_fragilis_BFG-640	blastp	792	0.0	no	no	0
Bacteroides_fragilis_BFG-642	blastp	783	565.0	yes	yes	2
Bacteroides_fragilis_BFG-7	blastp	793	560.0	yes	yes	3
Bacteroides_fragilis_BFG-70	blastp	801	0.0	no	no	0
Bacteroides_fragilis_BFG-79	blastp	793	560.0	yes	yes	1
Bacteroides_fragilis_BFG-85	blastp	781	0.0	no	no	0
Bacteroides_fragilis_BFG-89	blastp	783	514.0	yes	yes	1
Bacteroides_fragilis_BFG-9	blastp	779	516.0	yes	yes	1
Bacteroides_fragilis_BFG-95	blastp	792	515.0	yes	yes	1
Bacteroides_fragilis_BOB25	blastp	778	0.0	no	no	0
Bacteroides_fragilis_CCUG_4856	blastp	842	515.0	yes	yes	1
Bacteroides_fragilis_CL03T12C07	blastp	815	72.0	no	no	0
Bacteroides_fragilis_CNGBoF3MHA02011B	blastx	0	516.0	yes	yes	2
Bacteroides_fragilis_DCMOUH0042B	blastp	829	0.0	no	no	0
Bacteroides_fragilis_DH4096B	blastp	794	565.0	yes	yes	2
Bacteroides_fragilis_FDAARGOS_1225	blastp	794	0.0	no	no	0
Bacteroides_fragilis_FDAARGOS_1512	blastp	793	515.0	yes	yes	1
Bacteroides_fragilis_GUT04	blastx	0	0.0	no	no	0
Bacteroides_fragilis_NCTC_9343	blastp	808	515.0	yes	yes	1
Bacteroides_fragilis_OB_EAV1_11_D6_FAA	blastx	0	515.0	yes	yes	1
Bacteroides_fragilis_P207	blastp	787	565.0	yes	yes	2
Bacteroides_fragilis_RSZYD15080378_A	blastx	0	0.0	no	no	0
Bacteroides_fragilis_RSZYD15081382_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081383_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081389_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081392_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081394_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081401_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081405_A-bold	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15081407_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090270_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090274_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090289_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090303_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090305_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090307_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_RSZYD15090325_A	blastx	0	567.0	yes	yes	1
Bacteroides_fragilis_S14	blastp	778	514.0	yes	yes	1
Bacteroides_fragilis_S36L11	blastp	838	565.0	yes	yes	2
Bacteroides_fragilis_SLAM_BAF01	blastp	792	515.0	yes	yes	2
Bacteroides_fragilis_Tbg-318	blastp	788	515.0	yes	yes	1
Bacteroides_fragilis_YCH46	blastp	871	560.0	yes	yes	2
Bacteroides_fragilis_ZY0302	blastp	782	516.0	yes	yes	1
Bacteroides_fragilis_ZY0804	blastp	784	0.0	no	no	0
