genome	mode	cds_per_mb	best_bitscore	pass
Pragia_fontium_NCTC12284	blastp	847	0.0	no
Tenebrionibacter_intestinalis_BIT-L3	blastp	915	50.8	no
Trabulsiella_odontotermitis_TBY01	blastp	933	53.9	no
Xenorhabdus_thuongxuanensis_30TX1	blastp	905	196.0	yes
Blochmannia_endosymbiont_of_Camponotus_nipponensis_CNIEBac	blastp	772	0.0	no
Brenneria_uluponensis_K61	blastp	915	231.0	yes
Candidatus_Arsenophonus_lipoptenae_CB	blastp	762	0.0	no
Candidatus_Arsenophonus_phytopathogenicus_135-24	blastp	1136	42.4	no
Candidatus_Hamiltonella_defensa_5AT_Acyrthosiphon_pisum_T5A	blastp	1011	219.0	yes
Candidatus_Purcelliella_pentastirinorum_OLIH	blastp	900	0.0	no
Citrobacter_pasteurii_FDAARGOS_1424	blastp	948	83.2	no
Curtobacterium_plantarum_LMG_16222	blastp	927	50.4	no
Enterobacter_dykesii_E1	blastp	932	52.0	no
Enterobacter_huaxiensis_090008	blastp	936	52.8	no
Enterobacter_nematophilus_E-TC7	blastp	923	52.0	no
Enterobacter_oligotrophicus_CCA6	blastp	929	54.7	no
Enterobacter_quasimori_120130	blastp	937	52.0	no
Gallaecimonas_mangrovi_HK-28	blastp	933	93.2	no
Limnobaculum_allomyrinae_BWR-B9	blastp	885	0.0	no
Pantoea_beijingensis_JZB2120001	blastp	884	0.0	no
Pantoea_eucalypti_LMG_24197	blastp	915	51.2	no
Pantoea_septica_GCF_902386985.1	blastp	941	49.7	no
Pectobacterium_araliae_MAFF_302110	blastp	885	49.7	no
Pectobacterium_atrosepticum_21A	blastp	886	321.0	yes
Plesiomonas_shigelloides_7A	blastp	859	75.9	no
Rouxiella_badensis_DAR84756	blastp	896	51.6	no
Yersinia_kristensenii_NCTC11471	blastp	893	52.4	no
Arsenophonus_endosymbiont_of_Aleurodicus_dispersus_ARAD	blastp	701	0.0	no
Arsenophonus_endosymbiont_of_Aleurodicus_floccissimus_ARAF	blastp	1201	0.0	no
Brenneria_goodwinii_FRB141	blastp	871	234.0	yes
Buttiauxella_izardii_CCUG_35510	blastp	918	51.6	no
Candidatus_Profftia_tarda_GCF_904848675.1	blastp	535	0.0	no
Candidatus_Symbiopectobacterium_endolongispinus_SYM	blastp	1034	53.1	no
Citrobacter_meridianamericanus_OT146	blastp	962	84.0	no
Citrobacter_portucalensis_Cf7303	blastp	948	85.9	no
Dryocola_boscaweniae_H6W4	blastp	941	53.1	no
Enterobacter_mori_ACYC.E9L	blastp	928	52.0	no
Enterobacter_quasiroggenkampii_ECC-072	blastp	928	52.0	no
Enterobacteriaceae_endosymbiont_of_Donacia_bicoloricornis_DbicSym	blastp	882	0.0	no
Enterobacteriaceae_endosymbiont_of_Donacia_thalassina_DthaSym	blastp	879	0.0	no
Enterobacteriaceae_endosymbiont_of_Donacia_tomentosa_DtomSym	blastp	864	0.0	no
Erwinia_pyri_DE2	blastp	935	50.4	no
Escherichia_ruysiae_Human_faeces	blastp	935	84.7	no
Ewingella_docleensis_CoE-038-23	blastp	944	51.2	no
Kluyvera_intermedia_N2-1	blastp	917	48.9	no
Kosakonia_oryziphila_REICA_142	blastp	990	52.0	no
Kosakonia_quasisacchari_WCHEs120001	blastp	945	230.0	yes
Leminorella_richardii_NCTC12151	blastp	893	0.0	no
Musicola_paradisiaca_Ech703	blastp	857	52.4	no
Pantoea_conspicua_C2A7	blastp	929	50.4	no
Pectobacterium_actinidiae_KKH3	blastp	860	47.4	no
Photorhabdus_aegyptia_BA1	blastp	854	68.6	no
Photorhabdus_akhurstii_0813-124_phase_II	blastp	855	66.2	no
Proteus_mirabilis_HI4320	blastp	902	54.7	no
Providencia_stuartii_41	blastp	929	87.0	no
Rahnella_aceris_Y9602	blastp	916	50.8	no
Rahnella_aquatilis_CIP_78.65___ATCC_33071_CIP_78.65	blastp	899	52.4	no
Rahnella_victoriana_JZ-GX1	blastp	899	52.4	no
Samsonia_erythrinae_DSM_16730	blastp	893	316.0	yes
Xenorhabdus_doucetiae_FRM16	blastp	866	196.0	yes
Xenorhabdus_thailandensis_CCN3.3	blastp	908	73.6	no
Yersinia_pekkanenii_A125KOH2	blastp	970	53.1	no
secondary_endosymbiont_of_Trabutina_mannipara_GCF_900090215.1	blastp	885	0.0	no
Candidatus_Arsenophonus_nilaparvatae_HZAU_001	blastp	922	0.0	no
Candidatus_Blochmanniella_pennsylvanica_str._BPEN	blastp	781	0.0	no
Candidatus_Hoaglandella_endobia_GCF_900044015.1	blastp	832	0.0	no
Candidatus_Pantoea_edessiphila_SoEO	blastp	813	0.0	no
Candidatus_Regiella_endosymbiont_of_Tuberolachnus_salignus_GCF_964020115.1	blastp	982	0.0	no
Candidatus_Sodalis_pierantonii_str._SOPE	blastp	1026	189.0	yes
Candidatus_Tachikawaea_gelatinosa_UwTKB	blastp	874	0.0	no
Cronobacter_universalis_NCTC_9529	blastp	927	52.8	no
Dickeya_oryzae_A003-S1-M15	blastp	861	52.4	no
Enterobacter_adelaidei_ECC3473	blastp	958	52.8	no
Enterobacteriaceae_endosymbiont_of_Donacia_sparganii_DsparSym	blastp	876	0.0	no
Escherichia_albertii_BIA_5-2	blastp	945	84.0	no
Escherichia_coli_str._K-12_substr._MG1655	blastp	930	84.7	no
Gallaecimonas_aegicerasi_aegiceras	blastp	947	103.0	yes
Intestinirhabdus_alba_BIT-B35	blastp	947	52.8	no
Klebsiella_huaxiensis_WCHKl090001	blastp	926	52.8	no
Kluyvera_ascorbata_SK	blastp	934	85.5	no
Kosakonia_oryzae_Ola_51	blastp	932	52.0	no
Kosakonia_radicincitans_DSM_107547	blastp	934	52.0	no
Lelliottia_aquatilis_TZW17	blastp	930	52.8	no
Limnobaculum_zhutongyuii_CF-458	blastp	888	0.0	no
Mangrovibacter_yixingensis_KCTC_42181	blastp	912	48.1	no
Mixta_tenebrionis_BIT-26	blastp	912	0.0	no
Obesumbacterium_proteus_LE8	blastp	909	50.4	no
Pectobacterium_parvum_FN20211	blastp	886	206.0	yes
Pectobacterium_polaris_NIBIO1392	blastp	870	324.0	yes
Pectobacterium_versatile_14A	blastp	879	52.0	no
Photorhabdus_australis_DSM_17609	blastp	908	75.1	no
Photorhabdus_temperata_DSM_14550	blastp	907	68.9	no
Providencia_vermicola_DSM_17385	blastp	888	92.8	no
Rahnella_perminowiae_C60	blastp	924	53.1	no
Rouxiella_chamberiensis_130333	blastp	906	0.0	no
Scandinavium_goeteborgense_CCUG_66741	blastp	941	53.1	no
Thorsellia_anophelis_DSM_18579	blastp	832	0.0	no
Xenorhabdus_innexi_DSM_16336	blastp	923	68.6	no
Budvicia_aquatica_FDAARGOS_387	blastp	875	0.0	no
Buttiauxella_massiliensis_Marseille-P9829	blastp	926	51.2	no
Candidatus_Pantoea_bituminis_EnvD	blastp	946	55.1	no
Enterobacter_intestinihominis_JNQH618	blastp	953	54.3	no
Enterobacter_ludwigii_EN-119	blastp	930	52.8	no
Enterobacteriaceae_endosymbiont_of_Donacia_cincticornis_DcincSym	blastp	884	0.0	no
Erwinia_phyllosphaerae_CMYE1	blastp	908	0.0	no
Erwinia_typographi_M043b	blastp	964	50.8	no
Kluyvera_georgiana_FIC1	blastp	919	56.2	no
Lelliottia_amnigena_FDAARGOS_1444	blastp	929	52.4	no
Lonsdalea_britannica_477	blastp	878	328.0	yes
Lonsdalea_quercina_ATCC_29281	blastp	877	327.0	yes
Pantoea_graminicola_KXB24	blastp	928	49.3	no
Pantoea_latae_AS1	blastp	932	0.0	no
Pectobacterium_betavasculorum_NCPPB_2795	blastp	906	51.2	no
Pectobacterium_parmentieri_RNS_08-42-1A	blastp	910	326.0	yes
Photorhabdus_hindustanensis_H1	blastp	872	68.6	no
Phytobacter_palmae_PSU_29	blastp	949	57.8	no
Proteus_appendicitidis_HZ0627	blastp	884	55.1	no
Providencia_alcalifaciens_FDAARGOS_408	blastp	914	85.9	no
Rahnella_selenatireducens_S5-11	blastp	898	53.1	no
Serratia_fonticola_DSM_4576	blastp	888	52.4	no
Serratia_sarumanii_K-M0228	blastp	926	81.6	no
Shimwellia_blattae_DSM_4481___NBRC_105725_DSM_4481	blastp	920	85.5	no
Siccibacter_turicensis_J5bl	blastp	917	53.9	no
Trabulsiella_guamensis_ATCC_49490	blastp	983	53.9	no
Xenorhabdus_kozodoii_DSM_17907	blastp	910	69.7	no
Xenorhabdus_mauleonii_DSM_17908	blastp	865	73.2	no
Yersinia_hibernica_CFS1934	blastp	901	53.1	no
Yokenella_regensburgei_DSM_5079	blastp	947	53.5	no
Arsenophonus_endosymbiont_of_Lipoptena_cervi_GCF_964277425.1	blastp	761	0.0	no
Buttiauxella_noackiae_MCE	blastp	912	51.6	no
Candidatus_Annandia_pinicola_Ad13-065	blastp	921	0.0	no
Candidatus_Regiella_insecticola_GCF_963888935.1	blastp	1148	0.0	no
Citrobacter_enshiensis_S2-9	blastp	943	85.9	no
Dickeya_undicola_2B12	blastp	889	52.8	no
Dryocola_mayonis_BD586	blastp	936	53.1	no
Enterobacter_chengduensis_WCHECl-C4___WCHECh050004	blastp	940	52.0	no
Enterobacteriaceae_endosymbiont_of_Donacia_clavipes_DclaSym	blastp	875	0.0	no
Enterobacteriaceae_endosymbiont_of_Donacia_proxima_DproxSym	blastp	872	0.0	no
Enterobacteriaceae_endosymbiont_of_Neohaemonia_nigricornis_NnigSym	blastp	883	0.0	no
Hafnia_alvei_A23BA	blastp	890	50.4	no
Izhakiella_capsodis_N6PO6	blastp	915	0.0	no
Klebsiella_africana_200023	blastp	944	53.5	no
Kosakonia_beeri_AX9b	blastp	921	51.2	no
Leminorella_grimontii_LG-KP-E1-2-T0	blastp	895	0.0	no
Mixta_calida_DE0300	blastp	934	0.0	no
Pantoea_agglomerans_FDAARGOS_1447	blastp	908	50.4	no
Pantoea_trifolii_MMK2	blastp	909	53.5	no
Pectobacterium_artocarpous_B2J-2	blastp	917	51.6	no
Pectobacterium_cacticida_CFBP3628	blastp	883	325.0	yes
Phytobacter_cepae_AG2a	blastp	916	52.0	no
Providencia_burhodogranariea_DSM_19968	blastp	856	296.0	yes
Rouxiella_silvae_213	blastp	917	87.4	no
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_morsitans_morsitans_Yale_colony_WGM	blastp	898	0.0	no
Xenorhabdus_griffiniae_Kalro	blastp	901	72.8	no
Xenorhabdus_santafensis_12	blastp	902	74.3	no
Xenorhabdus_siamensis_AUT15.5	blastp	874	195.0	yes
Yersinia_aleksiciae_404_81	blastp	910	52.8	no
Candidatus_Sodalis_endolongispinus_SOD	blastp	971	197.0	yes
Citrobacter_rodentium_NBRC_105723___DSM_16636	blastp	942	79.3	no
Dickeya_poaceiphila_NCPPB_569	blastp	880	52.8	no
Enterobacter_pasteurii_P40RS	blastp	928	52.8	no
Enterobacteriaceae_endosymbiont_of_Plateumaris_pusilla_PpusSym	blastp	869	0.0	no
Erwinia_plantamica_OPT-41	blastp	913	0.0	no
Klebsiella_grimontii_2750	blastp	922	52.8	no
Leclercia_tamurae_H6S3	blastp	935	55.8	no
Musicola_keenii_A3967	blastp	888	52.4	no
Pantoea_vagans_LMG_24199	blastp	904	50.8	no
Proteus_columbae_08MAS2615	blastp	896	55.1	no
Rahnella_bruchi_DSM_27398	blastp	903	60.8	no
Rahnella_ecdela_FRB_231	blastp	916	52.4	no
Scandinavium_hiltneri_H11S7	blastp	947	53.1	no
Scandinavium_lactucae_V105_6	blastp	935	52.8	no
Serratia_aquatilis_2015-2462-01	blastp	887	53.1	no
Serratia_rhizosphaerae_KUDC3025	blastp	912	52.8	no
Siccibacter_colletis_YSD_YN2	blastp	936	55.1	no
Tatumella_citrea_DSM_13699	blastp	906	0.0	no
Tatumella_morbirosei_LMG_23360	blastp	912	0.0	no
Tatumella_saanichensis_NML_06-3099	blastp	933	0.0	no
Tenebrionicola_larvae_YMB-R21	blastp	915	50.8	no
Xenorhabdus_stockiae_DSM_17904	blastp	878	68.6	no
Yersinia_alsatica_SCPM-O-B-7604	blastp	884	51.2	no
Yersinia_canariae_NCTC_14382	blastp	892	53.1	no
Yersinia_thracica_IP34646	blastp	896	52.4	no
Arsenophonus_endosymbiont_of_Crataerina_pallida_GCF_964020125.1	blastp	1062	53.1	no
Atlantibacter_hermannii_FDAARGOS_888	blastp	914	55.1	no
Brenneria_populi_D9-5	blastp	912	319.0	yes
Candidatus_Ishikawaella_capsulata_Mpkobe	blastp	839	0.0	no
Cedecea_lapagei_NCTC11466	blastp	942	52.8	no
Cronobacter_turicensis_LMG23827	blastp	925	52.8	no
Dickeya_lacustris_S29	blastp	897	52.8	no
Dryocola_baronae_BD626	blastp	923	52.4	no
Franconibacter_helveticus_1159	blastp	934	53.5	no
Izhakiella_australiensis_D4N98	blastp	949	49.3	no
Klebsiella_aerogenes_FDAARGOS_1442	blastp	931	51.2	no
Klebsiella_quasivariicola_08A119	blastp	953	53.5	no
Kluyvera_sichuanensis_lhn-g4	blastp	928	52.4	no
Kosakonia_oryzendophytica_FY-07	blastp	943	53.1	no
Leclercia_barmai_B1-02	blastp	924	52.8	no
Mangrovibacter_phragmitis_ASIOC01	blastp	939	48.1	no
Pantoea_coffeiphila_1480	blastp	898	55.1	no
Pectobacterium_brasiliense_1692	blastp	870	52.4	no
Photorhabdus_africana_CRI-LC	blastp	914	68.6	no
Photorhabdus_asymbiotica_ATCC43949	blastp	861	72.4	no
Photorhabdus_kayaii_DSM_15194	blastp	927	67.4	no
Photorhabdus_khanii_NC19	blastp	873	66.6	no
Phytobacter_ursingii_CAV1151	blastp	963	51.6	no
Providencia_huashanensis_23021821	blastp	933	91.3	no
Providencia_pseudovermicola_DFU52	blastp	906	87.0	no
Pseudocitrobacter_vendiensis_CPO20170097T	blastp	954	85.1	no
Rosenbergiella_collisarenosi_8.8A	blastp	971	0.0	no
Rouxiella_aceris_SAP-1	blastp	888	217.0	yes
Serratia_bockelmannii_K-L0007	blastp	926	84.7	no
Serratia_grimesii_GCF_900186025.1	blastp	917	51.2	no
Serratia_montpellierensis_PsyLou2A	blastp	944	84.3	no
Shigella_flexneri_2a_str._301	blastp	893	51.2	no
Shigella_sonnei_ATCC_29930	blastp	997	51.2	no
Sodalis_praecaptivus_subsp._spalangiae_HZ	blastp	1009	215.0	yes
Tatumella_ptyseos_ATCC_33301	blastp	923	0.0	no
Yersinia_fenwicki_NZRM_4767	blastp	888	52.8	no
Erwinia_papayae_JGD233	blastp	904	0.0	no
Escherichia_coli_O157:H7_str._Sakai_Sakai_substr._RIMD_0509952	blastp	921	84.7	no
Jejuibacter_calystegiae_KSNA2	blastp	925	47.8	no
Mixta_intestinalis_SRCM103226	blastp	913	0.0	no
Pantoea_nemavictus_BIGb0393	blastp	893	53.5	no
Pectobacterium_colocasium_LJ1	blastp	884	322.0	yes
Pectobacterium_hainanensis_B1J-3	blastp	919	53.1	no
Pectobacterium_punjabense_SS95	blastp	886	321.0	yes
Photorhabdus_hainanensis_DSM_22397	blastp	874	66.2	no
Prodigiosinella_confusarubida_ATCC_39006	blastp	893	53.9	no
Proteus_faecis_EPP2_1	blastp	899	55.1	no
Rahnella_inusitata_Se8.10.12	blastp	913	59.7	no
Serratia_odorifera_INTA_L401-1	blastp	931	52.0	no
Serratia_surfactantfaciens_YD25	blastp	933	84.0	no
Type-D_symbiont_of_Plautia_stali_D-Plst-SymD	blastp	925	50.1	no
Winslowiella_arboricola_BAC_15a-03b	blastp	923	54.3	no
Xenorhabdus_bakwenae_SF857	blastp	941	67.0	no
Xenorhabdus_miraniensis_DSM_17902	blastp	872	76.6	no
Blochmannia_endosymbiont_of_Colobopsis_nipponica_CNIPBac	blastp	835	0.0	no
Brenneria_corticis_CFCC_11842	blastp	914	306.0	yes
Candidatus_Moranella_endobia_PCVAL	blastp	808	0.0	no
Citrobacter_bitternis_JCM30009	blastp	956	51.6	no
Citrobacter_braakii_MiY-A	blastp	929	83.2	no
Cronobacter_condimenti_1330_LMG_26250	blastp	921	53.5	no
Enterobacter_asburiae_17Nkhm-UP2	blastp	935	52.0	no
Enterobacter_chuandaensis_E20191216	blastp	940	52.8	no
Enterobacter_soli_LF7a	blastp	938	53.9	no
Enterobacteriaceae_endosymbiont_of_Donacia_piscatrix_DpisSym	blastp	943	0.0	no
Entomohabitans_teleogrylli_SCU-B244	blastp	946	82.8	no
Erwinia_tracheiphila_BHKY	blastp	1019	0.0	no
Klebsiella_pasteurii_Sb-24	blastp	924	52.8	no
Limnobaculum_xujianqingii_CF-1111	blastp	913	0.0	no
Pantoea_piersonii_IIIF1SW-P2	blastp	945	0.0	no
Pectobacterium_peruviense_A350-S18-N16	blastp	878	323.0	yes
Photorhabdus_stackebrandtii_DSM_23271	blastp	915	66.6	no
Rosenbergiella_epipactidis_2.1A	blastp	961	0.0	no
Rosenbergiella_gaditana_S61	blastp	1007	0.0	no
Superficieibacter_electus_BP-1	blastp	955	48.5	no
Xenorhabdus_japonica_DSM_16522	blastp	915	70.9	no
Yersinia_entomophaga_MH96	blastp	896	53.5	no
Brenneria_izadpanahii_Iran_50	blastp	882	0.0	no
Brenneria_roseae_subsp._americana_LMG_27715	blastp	907	52.4	no
Candidatus_Annandia_adelgestsuga_ENA	blastp	941	0.0	no
Candidatus_Fukatsuia_endosymbiont_of_Drepanosiphum_platanoidis_GCF_964030615.1	blastp	931	210.0	yes
Candidatus_Mikella_endobia_GCF_900048045.1	blastp	785	0.0	no
Chimaeribacter_arupi_2016-Iso3	blastp	904	47.8	no
Chimaeribacter_coloradensis_2016-Iso4	blastp	904	48.9	no
Dickeya_solani_IPO_2222	blastp	850	52.4	no
Dickeya_zeae_MS2	blastp	872	52.4	no
Enterobacter_pseudoroggenkampii_FY158	blastp	939	52.0	no
Erwinia_aphidicola_JCM_21238	blastp	913	56.2	no
Klebsiella_pneumoniae_subsp._pneumoniae_HS11286	blastp	1017	53.5	no
Limnobaculum_eriocheiris_LJY008	blastp	918	0.0	no
Moellerella_wisconsensis_W65	blastp	889	52.0	no
Pantoea_cypripedii_LMG_2657	blastp	934	54.7	no
Pectobacterium_aquaticum_A212-S19-A16	blastp	907	52.0	no
Photorhabdus_machadonis_SF281	blastp	945	97.4	no
Pseudocitrobacter_corydidari_G163CM	blastp	914	85.5	no
Rahnella_rivi_FC061912-K	blastp	911	58.2	no
Rosenbergiella_metrosideri_JB07	blastp	980	0.0	no
Serratia_quinivorans_NCTC13188	blastp	918	51.6	no
Sodalis_ligni_159R	blastp	887	213.0	yes
Winslowiella_iniecta_B120	blastp	926	297.0	yes
Xenorhabdus_poinarii_G6	blastp	921	70.1	no
Yersinia_proxima_IP37424	blastp	894	52.8	no
secondary_endosymbiont_of_Heteropsylla_cubana_Hcub_S	blastp	522	0.0	no
Blochmannia_endosymbiont_of_Camponotus_pudorosus_544	blastp	839	0.0	no
Brenneria_alni_NCPPB_3934	blastp	944	0.0	no
Brenneria_rubrifaciens_ICMP_1915	blastp	901	0.0	no
Candidatus_Erwinia_haradaeae_ErCicurvipes	blastp	571	0.0	no
Candidatus_Pantoea_carbekii_US	blastp	693	0.0	no
Candidatus_Westeberhardia_cardiocondylae_obscurior	blastp	698	0.0	no
Citrobacter_youngae_CPO452	blastp	956	84.0	no
Dickeya_chrysanthemi_Ech1591	blastp	875	52.4	no
Dickeya_dadantii_DSM_18020	blastp	873	52.4	no
Edwardsiella_hoshinae_FDAARGOS_940	blastp	893	0.0	no
Enterobacter_rongchengensis_170250	blastp	988	52.0	no
Enterobacterales_bacterium_endosymbiont_of_Anomoneura_mori_AM	blastp	949	0.0	no
Enterobacteriaceae_endosymbiont_of_Donacia_crassipes_DcraSym	blastp	890	0.0	no
Kosakonia_calanthes_BYX6	blastp	913	52.0	no
Pectobacterium_sinaloense_LFLA-215	blastp	890	51.6	no
Photorhabdus_viridis_Green	blastp	970	70.1	no
Rahnella_laticis_SAP-17	blastp	901	56.6	no
Sodalis_glossinidius_str.__morsitans__morsitans	blastp	1159	92.8	no
Xenorhabdus_vietnamensis_DSM_22392	blastp	867	74.3	no
Candidatus_Blochmanniella_camponoti_C-050	blastp	780	0.0	no
Candidatus_Pantoea_gossypiicola_B_8	blastp	942	50.4	no
Citrobacter_europaeus_WF1643	blastp	920	82.8	no
Enterobacteriaceae_endosymbiont_of_Plateumaris_consimilis_PconSym	blastp	873	0.0	no
Erwinia_endophytica_A41C3	blastp	937	0.0	no
Erwinia_piriflorinigrans_CFBP_5888	blastp	908	202.0	yes
Erwinia_sorbitola_J780	blastp	890	56.6	no
Gallaecimonas_kandeliae_Q10	blastp	951	108.0	yes
Hafnia_psychrotolerans_CGMCC_1.12806	blastp	916	199.0	yes
Pantoea_leporis_R	blastp	911	53.1	no
Pseudocitrobacter_faecalis_GCF_965231525.1	blastp	927	84.7	no
Serratia_microhaemolytica_ZS-11	blastp	862	0.0	no
Shigella_dysenteriae_SWHEFF_49	blastp	941	85.1	no
Xenorhabdus_bharatensis_CS20	blastp	882	70.5	no
Xenorhabdus_indica_DSM_17382	blastp	861	70.5	no
Blochmannia_endosymbiont_of_Camponotus_sp._C-016	blastp	779	0.0	no
Blochmannia_endosymbiont_of_Camponotus_sp._C-046	blastp	783	0.0	no
Candidatus_Erwinia_dacicola_IL	blastp	1248	0.0	no
Candidatus_Schneideria_nysicola_NR	blastp	944	0.0	no
Cedecea_colo_ZA_0188	blastp	940	52.8	no
Chania_multitudinisentens_RB-25	blastp	888	52.0	no
Enterobacter_chinensis_170198	blastp	945	52.8	no
Enterobacteriaceae_endosymbiont_of_Plateumaris_rustica_PrusSym	blastp	881	0.0	no
Erwinia_amylovora_EaSmR	blastp	882	0.0	no
Erwinia_pyrifoliae_EpK1_15	blastp	909	0.0	no
Erwinia_wuhanensis_BC051422	blastp	909	0.0	no
Gibbsiella_quercinecans_FRB97	blastp	887	51.6	no
Kluyvera_cryocrescens_NBRC_102467	blastp	944	48.9	no
Pantoea_endophytica_596	blastp	915	52.8	no
Photorhabdus_heterorhabditis_VMG	blastp	904	193.0	yes
Pluralibacter_gergoviae_FDAARGOS_186	blastp	923	87.0	no
Proteus_terrae_subsp._cibarius_ZN2	blastp	899	55.1	no
Providencia_huaxiensis_Z29CR2279	blastp	918	77.4	no
Providencia_lanzhouensis_PAZ2	blastp	911	82.8	no
Serratia_silvae_Arafor3	blastp	942	52.4	no
Symbiopectobacterium_purcellii_SyEd1	blastp	919	51.2	no
Xenorhabdus_cabanillasii_DSM_17905	blastp	876	73.6	no
Yersinia_similis_Y_sim_228	blastp	892	52.8	no
Brenneria_salicis_ATCC_15712___DSM_30166_ATCC_15712	blastp	905	52.4	no
Buttiauxella_agrestis_NCTC12119	blastp	920	51.2	no
Candidatus_Pantoea_persica_Kerman3	blastp	1107	0.0	no
Candidatus_Riesia_pediculischaeffi_PTSK	blastp	832	0.0	no
Citrobacter_tructae_SNU_WT2	blastp	930	84.3	no
Dickeya_parazeae_Ech586	blastp	868	52.4	no
Duffyella_gerundensis_AR	blastp	901	0.0	no
Franconibacter_daqui_CGMCC_1.15944	blastp	924	53.5	no
Leclercia_pneumoniae_49125	blastp	951	53.5	no
Nissabacter_archeti_JGM97	blastp	904	47.8	no
Pantoea_dispersa_Lsch	blastp	922	50.4	no
Pantoea_wallisii_LMG_26277	blastp	945	0.0	no
Paramixta_manurensis_PD-1	blastp	944	54.7	no
Pectobacterium_odoriferum_JK2.1	blastp	898	52.0	no
Pectobacterium_polonicum_DPMP315	blastp	912	52.0	no
Pectobacterium_wasabiae_CFBP_3304	blastp	908	324.0	yes
Providencia_rettgeri_FDAARGOS_1450	blastp	912	78.6	no
Xenorhabdus_nematophila_ATCC_19061	blastp	901	69.7	no
Xenorhabdus_taiwanensis_TCT-1	blastp	913	203.0	yes
Affinibrenneria_salicis_L3-3HA	blastp	892	313.0	yes
Blochmannia_endosymbiont_of_Camponotus_sp._C-003	blastp	781	0.0	no
Brenneria_izbisi_KBI_423	blastp	895	52.8	no
Candidatus_Profftia_lariciata_Ad13-081	blastx	491	0.0	no
Cedecea_neteri_FDAARGOS_392	blastp	926	52.4	no
Chimaeribacter_californicus_2015-Iso6	blastp	921	228.0	yes
Citrobacter_cronae_Colony478	blastp	853	82.4	no
Cronobacter_dublinensis_subsp._dublinensis_LMG_23823	blastp	925	52.8	no
Cronobacter_sakazakii_CS-931	blastp	929	52.8	no
Enterobacillus_tribolii_DSM_103736	blastp	868	57.4	no
Erwinia_aeris_ACCC_02193	blastp	941	0.0	no
Erwinia_magellanica_CCM_9358	blastp	926	50.1	no
Erwinia_rhapontici_BY21311	blastp	905	56.6	no
Gallaecimonas_xiamenensis_3-C-1	blastp	949	94.4	no
Mangrovibacter_plantisponsor_DSM_19579	blastp	921	48.1	no
Morganella_morganii_subsp._morganii_ATCC_25830	blastp	934	79.7	no
Pantoea_allii_LMG24248	blastp	912	204.0	yes
Pantoea_phyllosphaerae_RRHST58	blastp	922	48.9	no
Photorhabdus_antumapuensis_UCH-936	blastp	880	65.5	no
Tatumella_terrea_JCM_8887	blastp	920	0.0	no
Xenorhabdus_szentirmaii_DSM_16338	blastp	883	67.0	no
Yersinia_vastinensis_SCPM-O-B-3977_686	blastp	901	53.1	no
Arsenophonus_symbiont_of_Ornithomya_chloropus_GCF_964026495.1	blastp	707	0.0	no
