region	organism	gcf	region_bp	core_bp	core_bp_after_trim	extension_bp	extending_profiles
JASCAK010000029.1.region001.gbk	Pantoea sp. V106_11	1	23338	3338	3338	0	
JXUJ01000033.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
CP020943.2.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLC010000006.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKF010000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
CP122403.1.region001.gbk	Pantoea sp. nfd-35	1	23338	3338	3338	0	
NMZZ01000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAN010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEBQ010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
QGTU01000003.1.region001.gbk	Pantoea sp. AG702	1	23338	3338	3338	0	
JALKKK010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJR010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLR010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJD010000001.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
CP003085.1.region001.gbk	Pantoea ananatis PA13	1	23338	3338	3338	0	
JALKJI010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKP010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBBCYJ010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
CM152815.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKG010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEBC010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLY010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAX010000006.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZX010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDYZ010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
NMZU01000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJW010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKL010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAO010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JAQNAK010000007.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZH010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBYHZE010000001.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZW010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLW010000001.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLJ010000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEBK010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBSSGC010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
CP059084.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
CVNG01000056.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKU010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBBCZL010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JAKZMT010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAW010000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBQOUQ010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
LYOP01000033.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEBL010000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
QICU01000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKIQ010000056.1.region001.gbk	Pantoea ananatis	1	16619	3338	3338	0	
JABEAS010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJX010000006.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBMUJK010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKZ010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
FPJM01000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAV010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLE010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
CP166503.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
FUXY01000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKE010000006.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKJP010000004.1.region001.gbk	Pantoea ananatis	1	23339	3339	3339	0	
JABEBM010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZS010000006.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDYT010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLO010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKH010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
AYST01000002.1.region001.gbk	Pantoea ananatis BRT98	1	23338	3338	3338	0	
CP001875.2.region001.gbk	Pantoea ananatis LMG 20103	1	23338	3338	3338	0	
JALKKR010000003.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEBH010000003.1.region001.gbk	Pantoea ananatis	1	40447	20447	20447	0	
JASHLP010000011.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
NMZR01000002.1.region001.gbk	Pantoea ananatis	1	40447	20447	20447	0	
JALKJO010000003.1.region001.gbk	Pantoea ananatis	1	40447	20447	20447	0	
JABDZD010000007.1.region001.gbk	Pantoea ananatis	1	30711	20494	20494	0	
JABEBO010000003.1.region001.gbk	Pantoea ananatis	1	40447	20447	20447	0	
BATH01000003.1.region001.gbk	Pantoea ananatis DAR 76143	1	21929	3338	3338	0	
JALKIU010000007.1.region001.gbk	Pantoea ananatis	1	30711	20494	20494	0	
JBSPZY010000003.1.region001.gbk	Pantoea ananatis	1	40493	20493	20493	0	
JALKKD010000002.1.region001.gbk	Pantoea ananatis	1	40447	20447	20447	0	
JABDZP010000003.1.region001.gbk	Pantoea ananatis	1	40447	20447	20447	0	
QRDI01000007.1.region001.gbk	Pantoea ananatis	1	37823	20493	20493	0	
NMZV01000006.1.region001.gbk	Pantoea ananatis	1	30761	20494	20494	0	
JALKLP010000004.1.region001.gbk	Pantoea ananatis	1	40447	20447	20447	0	
QGTO01000003.1.region001.gbk	Pantoea ananatis	1	40492	20492	20492	0	
JABDYW010000005.1.region001.gbk	Pantoea ananatis	1	40493	20493	20493	0	
JALKKB010000003.1.region001.gbk	Pantoea ananatis	1	40492	20492	20492	0	
JBQOUT010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLT010000002.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDYY010000005.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEBS010000011.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKMA010000009.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLX010000012.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABEAA010000005.1.region001.gbk	Pantoea ananatis	1	40493	20493	20493	0	
CM188849.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JABDZE010000004.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
CP014207.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JBQOUP010000011.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKKT010000005.1.region001.gbk	Pantoea ananatis	1	40493	20493	20493	0	
JALKKS010000005.1.region001.gbk	Pantoea ananatis	1	40493	20493	20493	0	
CM168046.1.region001.gbk	Pantoea ananatis	1	40492	20492	20492	0	
JALKLQ010000001.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
JALKLZ010000006.1.region001.gbk	Pantoea ananatis	1	23338	3338	3338	0	
AP019753.1.region001.gbk	Pantoea ananatis	2	23338	3338	3338	0	
JBNUMP010000042.1.region001.gbk	Pantoea allii	2	6979	3338	3338	0	
JBNUMR010000006.1.region001.gbk	Pantoea allii	2	23338	3338	3338	0	
JAKZMU010000007.1.region001.gbk	Pantoea allii	2	19777	3338	3338	0	
JBNUMS010000008.1.region001.gbk	Pantoea allii	2	23338	3338	3338	0	
JBNUMM010000006.1.region001.gbk	Pantoea allii	2	23338	3338	3338	0	
CP125959.1.region001.gbk	Pantoea allii	2	23338	3338	3338	0	
JBNUMO010000006.1.region001.gbk	Pantoea allii	2	23338	3338	3338	0	
JBNUML010000010.1.region001.gbk	Pantoea allii	2	23338	3338	3338	0	
JALNPN010000006.1.region001.gbk	Pantoea sp. Fr+CA_20	2	23338	3338	3338	0	
JBNUMN010000006.1.region001.gbk	Pantoea allii	2	23338	3338	3338	0	
CP126315.1.region001.gbk	Pantoea allii	2	23338	3338	3338	0	
JBNUMQ010000007.1.region001.gbk	Pantoea allii	2	23338	3338	3338	0	
CP193925.1.region001.gbk	Pantoea allii	2	23338	3338	3338	0	
CP193909.1.region001.gbk	Pantoea allii	2	23338	3338	3338	0	
QICO01000002.1.region001.gbk	Pantoea sp. PNA 03-3	2	23338	3338	3338	0	
JBXUHX010000010.1.region001.gbk	Pantoea sp. RCC30.1	2	23340	3340	3340	0	
JBBJQG010000012.1.region001.gbk	Pantoea agglomerans	3	31298	19476	19476	0	
JBBJRA010000013.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJSL010000008.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJRG010000008.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJSI010000010.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJQK010000011.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJQX010000010.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJRX010000008.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJRN010000013.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJRY010000003.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJSJ010000012.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJPX010000012.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJQB010000008.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JAKZMS010000010.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJRH010000009.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
CP134755.1.region001.gbk	Pantoea agglomerans subsp. jekyllhydei (SeqCode)	3	39476	19476	19476	0	
JBBJQQ010000011.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
CP134721.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJRF010000008.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJSH010000012.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
JBBJPW010000003.1.region001.gbk	Pantoea agglomerans	3	39476	19476	19476	0	
CP193910.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JAHVXV010000002.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JBNUMI010000001.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
MLFE01000001.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JBNUME010000010.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JAHVXZ010000003.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JAHVYA010000003.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JBNUMH010000001.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JCBORL010000001.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JAHVXX010000001.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JBNUMF010000007.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
CP193913.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JAHVXU010000003.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
CP193926.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JAHVXY010000003.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
CP193916.1.region002.gbk	Pantoea allii	4	25076	5076	5076	0	
JBNUMJ010000005.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JAHVXW010000002.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JABLUS010000039.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JBNUMG010000005.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
LWLR01000001.1.region001.gbk	Pantoea sp. OXWO6B1	4	25076	5076	5076	0	
NTMH01000040.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
JBNUMK010000004.1.region001.gbk	Pantoea allii	4	25076	5076	5076	0	
RQRZ01000003.1.region001.gbk	Erwinia psidii	6	22240	2240	2240	0	
RHHM01000002.1.region001.gbk	Erwinia psidii	6	22240	2240	2240	0	
RQSA01000004.1.region001.gbk	Erwinia psidii	6	22240	2240	2240	0	
RQSB01000002.1.region001.gbk	Erwinia psidii	6	22240	2240	2240	0	
JQZZ01000144.1.region001.gbk	Pantoea ananatis	7	15268	2090	2090	0	
JABDYW010000008.1.region001.gbk	Pantoea ananatis	7	21285	2090	2090	0	
CM135103.1.region001.gbk	Pantoea ananatis	7	22090	2090	2090	0	
NMZV01000004.1.region001.gbk	Pantoea ananatis	7	22090	2090	2090	0	
CP160459.1.region001.gbk	Pantoea stewartii subsp. indologenes	7	22084	2084	2084	0	
CP003085.1.region002.gbk	Pantoea ananatis PA13	7	22090	2090	2090	0	
OZ496979.1.region001.gbk	Pantoea ananatis	7	22090	2090	2090	0	
AP012032.2.region001.gbk	Pantoea ananatis AJ13355	7	21973	1973	1973	0	
CAEI01000109.1.region001.gbk	Pantoea ananatis	7	22090	2090	2090	0	
CM146739.1.region001.gbk	Pantoea stewartii	7	22090	2090	2090	0	
JABDZD010000005.1.region001.gbk	Pantoea ananatis	7	22090	2090	2090	0	
JALKKS010000009.1.region001.gbk	Pantoea ananatis	7	16179	2090	2090	0	
CM194831.1.region001.gbk	Pantoea ananatis	7	22090	2090	2090	0	
JALKJF010000007.1.region001.gbk	Pantoea ananatis	7	12562	2090	2090	0	
CAEJ01000136.1.region001.gbk	Pantoea ananatis	7	22090	2090	2090	0	
JALKTT010000004.1.region001.gbk	Pantoea stewartii	7	22090	2090	2090	0	
BATH01000055.1.region001.gbk	Pantoea ananatis DAR 76143	7	11052	2090	2090	0	
JALKIU010000004.1.region001.gbk	Pantoea ananatis	7	22090	2090	2090	0	
JBYHZE010000001.1.region002.gbk	Pantoea ananatis	7	22090	2090	2090	0	
QRDI01000020.1.region001.gbk	Pantoea ananatis	7	19635	2090	2090	0	
